frame_id,prev_frame_id,movement,avg_velocity_px_s,dx_total,dy_total
0,0,START,0.0,0.0,0.0
119,0,STATIONARY,1.3,2.41,6.04
238,119,UP,10.9,-0.96,54.5
357,238,UP,13.9,0.13,69.52
476,357,UP,14.71,2.92,73.48
595,476,UP,14.92,-3.46,74.5
714,595,UP,14.71,-2.74,73.48
833,714,UP,14.75,-2.75,73.72
952,833,UP,15.29,-1.29,76.43
1071,952,UP,15.5,0.36,77.5
1190,1071,UP,15.98,-4.44,79.79
1309,1190,UP,15.48,-1.76,77.38
1428,1309,UP,15.57,-2.74,77.78
1547,1428,UP,14.87,-0.79,74.34
1666,1547,UP,14.2,-3.41,70.92
1785,1666,UP,13.68,4.16,68.28
1904,1785,UP,13.92,0.33,69.61
2023,1904,UP,13.72,1.46,68.61
2142,2023,UP,14.15,-5.1,70.56
2261,2142,UP,14.71,-4.22,73.41
2380,2261,UP,14.79,-2.97,73.89
2499,2380,UP,12.4,-2.18,61.94
2618,2499,DOWN,7.83,-1.52,-39.13
2737,2618,STATIONARY,6.67,-3.56,-33.18
2856,2737,UP,16.53,-5.23,82.5
2975,2856,UP,16.6,-2.36,82.97
3094,2975,UP,16.33,-0.23,81.67
3213,3094,UP,16.1,-3.52,80.41
3332,3213,UP,15.64,-2.82,78.13
3451,3332,UP,14.44,0.33,72.2
3570,3451,UP,14.7,-0.6,73.49
3689,3570,UP,15.13,-3.69,75.57
3808,3689,UP,15.33,-2.34,76.61
3927,3808,UP,15.24,-0.44,76.2
4046,3927,UP,15.44,2.05,77.2
4165,4046,UP,15.04,-0.33,75.2
4284,4165,UP,15.14,-0.09,75.7
4403,4284,UP,15.12,0.1,75.59
4522,4403,UP,15.69,1.3,78.43
4641,4522,UP,15.48,1.37,77.41
4760,4641,UP,15.36,0.16,76.82
4879,4760,UP,16.07,0.34,80.32
4998,4879,UP,15.97,1.81,79.81
5117,4998,UP,15.35,0.03,76.74
5236,5117,UP,15.59,1.02,77.93
5355,5236,UP,16.51,-3.46,82.46
5474,5355,UP,16.15,0.76,80.73
5593,5474,UP,15.93,-1.1,79.63
5712,5593,UP,15.79,-0.42,78.95
5831,5712,UP,15.38,-2.24,76.85
5950,5831,UP,15.52,-1.24,77.61
6069,5950,UP,15.51,1.64,77.54
6188,6069,UP,15.59,-3.03,77.9
6307,6188,UP,15.12,-2.53,75.56
6426,6307,UP,15.5,0.99,77.49
6545,6426,UP,15.78,-2.91,78.87
6664,6545,UP,16.66,-5.93,83.07
6783,6664,UP,16.79,-1.5,83.92
6902,6783,UP,17.27,-2.69,86.33
7021,6902,UP,17.58,-4.21,87.8
7140,7021,UP,17.41,-0.75,87.04
7259,7140,UP,14.57,-4.06,72.76
7378,7259,UP,13.02,-2.29,65.04
7497,7378,UP,15.76,-3.11,78.75
7616,7497,UP,16.66,-4.6,83.2
7735,7616,UP,16.47,-8.21,81.92
7854,7735,UP,16.49,-4.62,82.34
7973,7854,STATIONARY,7.84,-24.02,30.98
